multiplicity,wyckoff_letter,site_symmetry,coordinates
8,A,1,"(x,y,z)"
4,z,..m,"(x,y,1/2)"
4,y,..m,"(x,y,0)"
4,x,.m.,"(x,1/2,z)"
4,w,.m.,"(x,0,z)"
4,v,m..,"(1/2,y,z)"
4,u,m..,"(0,y,z)"
2,t,mm2,"(1/2,1/2,z)"
2,s,mm2,"(1/2,0,z)"
2,r,mm2,"(0,1/2,z)"
2,q,mm2,"(0,0,z)"
2,p,m2m,"(1/2,y,1/2)"
2,o,m2m,"(1/2,y,0)"
2,n,m2m,"(0,y,1/2)"
2,m,m2m,"(0,y,0)"
2,l,2mm,"(x,1/2,1/2)"
2,k,2mm,"(x,1/2,0)"
2,j,2mm,"(x,0,1/2)"
2,i,2mm,"(x,0,0)"
1,h,mmm,"(1/2,1/2,1/2)"
1,g,mmm,"(0,1/2,1/2)"
1,f,mmm,"(1/2,1/2,0)"
1,e,mmm,"(0,1/2,0)"
1,d,mmm,"(1/2,0,1/2)"
1,c,mmm,"(0,0,1/2)"
1,b,mmm,"(1/2,0,0)"
1,a,mmm,"(0,0,0)"
